f,r,x
5.963250,144.14,2612.06
5.988200,146.02,2629.54
6.013150,147.82,2646.14
6.038100,149.80,2664.37
6.063050,151.72,2681.83
6.088000,153.67,2699.57
6.112950,155.79,2718.64
6.137900,157.71,2735.78
6.162850,159.75,2753.90
6.187800,161.83,2772.19
6.212750,163.88,2790.17
6.237700,165.92,2807.95
6.262650,168.49,2830.06
6.287600,170.56,2847.76
6.312550,172.61,2865.45
6.337500,175.08,2886.30
6.362450,177.18,2903.88
6.387400,179.43,2922.65
6.412350,181.97,2943.86
6.437300,184.26,2962.53
6.462250,186.75,2982.99
6.487200,189.34,3004.10
6.512150,191.67,3023.02
6.537100,194.35,3044.51
6.562050,196.71,3063.27
6.587000,199.43,3084.80
6.611950,202.10,3105.95
6.636900,204.49,3124.41
6.661850,207.43,3147.48
6.686800,210.23,3168.99
6.711750,213.08,3190.90
6.736700,216.04,3213.32
6.761650,218.97,3235.52
6.786600,221.57,3254.92
6.811550,224.75,3278.72
6.836500,227.45,3298.69
6.861450,230.83,3323.68
6.886400,233.98,3346.57
6.911350,236.87,3367.55
6.936300,240.40,3393.02
6.961250,243.12,3412.49
6.986200,246.89,3439.06
7.011150,250.01,3461.29
7.036100,253.48,3485.76
7.061050,257.06,3510.46
7.086000,260.56,3534.65
7.110950,264.04,3558.48
7.135900,267.64,3583.10
7.160850,271.30,3607.70
7.185800,275.44,3635.58
7.210750,279.02,3659.51
7.235700,282.63,3683.35
7.260650,286.80,3710.58
7.285600,290.50,3734.94
7.310550,295.39,3766.61
7.335500,299.32,3791.78
7.360450,303.65,3819.50
7.385400,307.82,3845.86
7.410350,312.06,3872.53
7.435300,316.17,3897.98
7.460250,321.20,3929.21
7.485200,325.93,3958.46
7.510150,330.29,3984.98
7.535100,334.80,4012.27
7.560050,339.85,4042.84
7.585000,344.55,4070.98
7.609950,349.66,4101.08
7.634900,354.49,4129.68
7.659850,359.14,4156.86
7.684800,364.65,4188.68
7.709750,369.94,4219.10
7.734700,376.14,4254.46
7.759650,380.79,4280.89
7.784600,386.76,4314.41
7.809550,392.56,4346.74
7.834500,398.59,4380.39
7.859450,404.92,4414.97
7.884400,409.93,4442.47
7.909350,417.29,4482.28
7.934300,423.08,4513.35
7.959250,429.30,4546.42
7.984200,436.13,4582.65
8.009150,442.78,4617.76
8.034100,450.09,4655.73
8.059050,456.18,4687.09
8.084000,464.25,4728.51
8.108950,471.09,4763.30
8.133900,478.54,4800.83
8.158850,485.14,4834.18
8.183800,494.12,4878.69
8.208750,500.73,4911.14
8.233700,508.90,4950.90
8.258650,517.89,4994.60
8.283600,526.18,5034.54
8.308550,534.23,5072.67
8.333500,542.58,5112.27
8.358450,551.93,5156.14
8.383400,559.83,5192.72
8.408350,569.70,5238.12
8.433300,578.86,5279.97
8.458250,587.19,5317.90
8.483200,596.61,5360.22
8.508150,607.51,5408.80
8.533100,618.99,5459.66
8.558050,629.17,5504.28
8.583000,638.70,5545.10
8.607950,650.80,5597.36
8.632900,661.78,5644.39
8.657850,671.93,5686.89
8.682800,684.60,5739.63
8.707750,695.95,5786.92
8.732700,708.43,5838.34
8.757650,721.86,5893.08
8.782600,733.49,5939.90
8.807550,747.30,5995.05
8.832500,761.82,6052.47
8.857450,774.94,6103.99
8.882400,788.58,6156.82
8.907350,803.24,6213.38
8.932300,815.47,6260.03
8.957250,832.46,6324.25
8.982200,848.17,6382.78
9.007150,862.59,6436.11
9.032100,880.29,6501.21
9.057050,898.05,6565.90
9.082000,910.08,6609.20
9.106950,931.30,6684.91
9.131900,946.81,6739.59
9.156850,965.87,6806.26
9.181800,983.45,6866.83
9.206750,1004.62,6939.52
9.231700,1024.01,7004.96
9.256650,1044.69,7074.62
9.281600,1066.52,7146.60
9.306550,1088.23,7217.97
9.331500,1109.34,7286.46
9.356450,1133.40,7363.49
9.381400,1154.73,7431.35
9.406350,1182.61,7518.73
9.431300,1203.05,7582.22
9.456250,1226.31,7653.44
9.481200,1255.71,7743.04
9.506150,1285.56,7832.30
9.531100,1310.62,7906.88
9.556050,1339.95,7992.39
9.581000,1364.44,8063.35
9.605950,1398.89,8161.89
9.630900,1428.15,8244.40
9.655850,1460.49,8334.46
9.680800,1490.19,8416.96
9.705750,1524.95,8511.75
9.730700,1555.03,8592.83
9.755650,1591.92,8690.95
9.780600,1631.51,8795.35
9.805550,1664.66,8881.33
9.830500,1707.73,8992.18
9.855450,1750.58,9099.88
9.880400,1787.12,9191.19
9.905350,1832.28,9302.45
9.930300,1883.39,9426.94
9.955250,1926.09,9529.23
9.980200,1969.08,9630.49
10.005150,2015.72,9739.46
10.030100,2073.00,9871.86
10.055050,2134.60,10000.00
10.080000,2180.34,10000.00
10.104950,2241.26,10000.00
10.129900,2303.40,10000.00
10.154850,2363.27,10000.00
10.179800,2434.29,10000.00
10.204750,2495.37,10000.00
10.229700,2572.20,10000.00
10.254650,2640.54,10000.00
10.279600,2718.86,10000.00
10.304550,2796.97,10000.00
10.329500,2884.52,10000.00
10.354450,2952.70,10000.00
10.379400,3062.07,10000.00
10.404350,3154.87,10000.00
10.429300,3246.15,10000.00
10.454250,3357.81,10000.00
10.479200,3462.00,10000.00
10.504150,3587.35,10000.00
10.529100,3660.75,10000.00
10.554050,3809.24,10000.00
10.579000,3929.18,10000.00
10.603950,4070.96,10000.00
10.628900,4179.09,10000.00
10.653850,4341.62,10000.00
10.678800,4485.99,10000.00
10.703750,4652.49,10000.00
10.728700,4810.79,10000.00
10.753650,5008.79,10000.00
10.778600,5184.83,10000.00
10.803550,5371.90,10000.00
10.828500,5551.20,10000.00
10.853450,5799.16,10000.00
10.878400,6056.10,10000.00
10.903350,6173.22,10000.00
10.928300,6478.83,10000.00
10.953250,6791.71,10000.00
10.978200,7095.81,10000.00
11.003150,7412.87,10000.00
11.028100,7691.98,10000.00
11.053050,7979.96,10000.00
11.078000,8347.98,10000.00
11.102950,8862.18,10000.00
11.127900,9250.99,10000.00
11.152850,9659.35,10000.00
11.177800,10000.00,10000.00
11.202750,10000.00,10000.00
11.227700,10000.00,10000.00
11.252650,10000.00,10000.00
11.277600,10000.00,10000.00
11.302550,10000.00,10000.00
11.327500,10000.00,10000.00
11.352450,10000.00,10000.00
11.377400,10000.00,10000.00
11.402350,10000.00,10000.00
11.427300,10000.00,10000.00
11.452250,10000.00,10000.00
11.477200,10000.00,10000.00
11.502150,10000.00,10000.00
11.527100,10000.00,10000.00
11.552050,10000.00,10000.00
11.577000,10000.00,10000.00
11.601950,10000.00,10000.00
11.626900,10000.00,10000.00
11.651850,10000.00,10000.00
11.676800,10000.00,10000.00
11.701750,10000.00,10000.00
11.726700,10000.00,10000.00
11.751650,10000.00,10000.00
11.776600,10000.00,10000.00
11.801550,10000.00,10000.00
11.826500,10000.00,10000.00
11.851450,10000.00,10000.00
11.876400,10000.00,10000.00
11.901350,10000.00,10000.00
11.926300,10000.00,10000.00
11.951250,10000.00,10000.00
11.976200,10000.00,7734.88
12.001150,10000.00,5541.87
12.026100,10000.00,2557.11
12.051050,10000.00,82.89
12.076000,10000.00,-2588.14
12.100950,10000.00,-5469.43
12.125900,10000.00,-8148.43
12.150850,10000.00,-10000.00
12.175800,10000.00,-10000.00
12.200750,10000.00,-10000.00
12.225700,10000.00,-10000.00
12.250650,10000.00,-10000.00
12.275600,10000.00,-10000.00
12.300550,10000.00,-10000.00
12.325500,10000.00,-10000.00
12.350450,10000.00,-10000.00
12.375400,10000.00,-10000.00
12.400350,10000.00,-10000.00
12.425300,10000.00,-10000.00
12.450250,10000.00,-10000.00
12.475200,10000.00,-10000.00
12.500150,10000.00,-10000.00
12.525100,10000.00,-10000.00
12.550050,10000.00,-10000.00
12.575000,10000.00,-10000.00
12.599950,10000.00,-10000.00
12.624900,10000.00,-10000.00
12.649850,10000.00,-10000.00
12.674800,10000.00,-10000.00
12.699750,10000.00,-10000.00
12.724700,10000.00,-10000.00
12.749650,10000.00,-10000.00
12.774600,10000.00,-10000.00
12.799550,10000.00,-10000.00
12.824500,10000.00,-10000.00
12.849450,10000.00,-10000.00
12.874400,10000.00,-10000.00
12.899350,10000.00,-10000.00
12.924300,10000.00,-10000.00
12.949250,9744.05,-10000.00
12.974200,9379.51,-10000.00
12.999150,8897.04,-10000.00
13.024100,8532.41,-10000.00
13.049050,8249.01,-10000.00
13.074000,7855.81,-10000.00
13.098950,7563.07,-10000.00
13.123900,7264.34,-10000.00
13.148850,6962.82,-10000.00
13.173800,6731.23,-10000.00
13.198750,6465.66,-10000.00
13.223700,6252.46,-10000.00
13.248650,6020.49,-10000.00
13.273600,5802.51,-10000.00
13.298550,5612.21,-10000.00
13.323500,5401.76,-10000.00
13.348450,5222.17,-10000.00
13.373400,5039.57,-10000.00
13.398350,4895.35,-10000.00
13.423300,4728.05,-10000.00
13.448250,4578.15,-10000.00
13.473200,4453.68,-10000.00
13.498150,4305.30,-10000.00
13.523100,4186.58,-10000.00
13.548050,4038.16,-10000.00
13.573000,3929.68,-10000.00
13.597950,3804.73,-10000.00
13.622900,3713.24,-10000.00
13.647850,3590.40,-10000.00
13.672800,3491.13,-10000.00
13.697750,3394.60,-10000.00
13.722700,3314.33,-10000.00
