f,r,x
5.164850,456.76,-4712.57
5.189800,451.56,-4685.61
5.214750,447.26,-4663.29
5.239700,442.17,-4636.69
5.264650,436.62,-4607.47
5.289600,432.26,-4584.63
5.314550,427.54,-4559.35
5.339500,423.35,-4537.16
5.364450,418.94,-4513.60
5.389400,414.31,-4488.31
5.414350,409.36,-4461.59
5.439300,405.75,-4441.80
5.464250,400.38,-4412.45
5.489200,396.88,-4392.93
5.514150,392.72,-4369.92
5.539100,387.97,-4343.32
5.564050,384.40,-4323.42
5.589000,380.50,-4301.38
5.613950,376.59,-4279.10
5.638900,372.59,-4256.45
5.663850,368.66,-4233.83
5.688800,365.04,-4213.09
5.713750,361.71,-4193.67
5.738700,358.24,-4173.59
5.763650,354.15,-4149.54
5.788600,349.92,-4124.69
5.813550,346.93,-4107.02
5.838500,343.64,-4087.46
5.863450,340.38,-4067.81
5.888400,336.65,-4045.45
5.913350,333.53,-4026.67
5.938300,329.74,-4003.62
5.963250,326.04,-3980.92
5.988200,323.22,-3963.82
6.013150,320.22,-3945.13
6.038100,316.54,-3922.30
6.063050,313.90,-3905.80
6.088000,311.17,-3888.82
6.112950,307.52,-3865.82
6.137900,304.52,-3846.88
6.162850,302.01,-3830.98
6.187800,298.76,-3810.13
6.212750,295.76,-3790.78
6.237700,292.56,-3770.31
6.262650,290.11,-3754.46
6.287600,287.42,-3736.84
6.312550,284.19,-3715.71
6.337500,281.80,-3699.96
6.362450,279.58,-3685.25
6.387400,276.08,-3661.92
6.412350,273.95,-3647.72
6.437300,270.93,-3627.40
6.462250,268.00,-3607.65
6.487200,265.90,-3593.35
6.512150,263.42,-3576.40
6.537100,260.99,-3559.59
6.562050,258.30,-3541.14
6.587000,256.19,-3526.52
6.611950,253.70,-3509.25
6.636900,250.69,-3488.08
6.661850,248.60,-3473.31
6.686800,245.95,-3454.68
6.711750,244.31,-3443.01
6.736700,241.80,-3425.06
6.761650,239.47,-3408.24
6.786600,237.29,-3392.66
6.811550,234.94,-3375.61
6.836500,233.00,-3361.36
6.861450,230.79,-3345.25
6.886400,228.81,-3330.64
6.911350,226.48,-3313.50
6.936300,224.39,-3298.02
6.961250,222.29,-3282.32
6.986200,220.28,-3267.25
7.011150,218.14,-3251.19
7.036100,216.41,-3238.11
7.061050,214.19,-3221.34
7.086000,212.25,-3206.43
7.110950,210.46,-3192.79
7.135900,208.32,-3176.36
7.160850,206.59,-3162.84
7.185800,204.62,-3147.56
7.210750,202.63,-3132.02
7.235700,200.99,-3119.27
7.260650,199.33,-3106.09
7.285600,197.06,-3088.11
7.310550,195.23,-3073.66
7.335500,193.36,-3058.58
7.360450,191.12,-3040.62
7.385400,189.28,-3025.62
7.410350,187.28,-3009.26
7.435300,184.84,-2989.26
7.460250,182.49,-2969.96
7.485200,180.36,-2952.10
7.510150,178.46,-2936.32
7.535100,177.37,-2927.13
7.560050,174.28,-2900.83
