f,r,x
5.988200,788.30,2593.63
6.013150,794.25,2610.03
6.038100,796.49,2628.07
6.063050,801.57,2645.82
6.088000,804.95,2660.08
6.112950,809.11,2680.49
6.137900,812.78,2697.58
6.162850,818.04,2713.58
6.187800,820.00,2731.99
6.212750,824.45,2750.39
6.237700,830.28,2768.40
6.262650,835.16,2786.69
6.287600,838.25,2805.71
6.312550,843.48,2824.30
6.337500,848.38,2843.37
6.362450,852.46,2860.10
6.387400,857.64,2879.04
6.412350,860.15,2897.36
6.437300,866.34,2916.69
6.462250,877.07,2933.01
6.487200,877.44,2956.44
6.512150,879.70,2975.46
6.537100,885.77,2995.82
6.562050,887.52,3015.77
6.587000,894.38,3037.93
6.611950,900.90,3057.62
6.636900,909.14,3076.85
6.661850,911.78,3100.56
6.686800,915.62,3121.88
6.711750,921.51,3138.07
6.736700,928.34,3159.87
6.761650,935.44,3182.49
6.786600,938.20,3200.12
6.811550,945.51,3226.26
6.836500,948.31,3249.38
6.861450,956.54,3271.53
6.886400,960.32,3288.22
6.911350,964.88,3314.26
6.936300,971.18,3334.94
6.961250,979.15,3359.06
6.986200,985.19,3381.10
7.011150,988.37,3403.24
7.036100,997.06,3427.99
7.061050,1004.35,3447.63
7.086000,1012.48,3476.67
7.110950,1018.18,3503.27
7.135900,1023.93,3523.40
7.160850,1028.83,3548.61
7.185800,1037.20,3574.36
7.210750,1048.94,3597.90
7.235700,1050.78,3621.34
7.260650,1060.15,3648.18
7.285600,1064.10,3675.12
7.310550,1074.70,3699.46
7.335500,1080.98,3722.41
7.360450,1087.35,3748.34
7.385400,1099.41,3774.86
7.410350,1109.51,3805.73
7.435300,1117.98,3830.51
7.460250,1123.57,3858.73
7.485200,1133.99,3886.71
7.510150,1142.83,3912.65
7.535100,1150.47,3937.42
7.560050,1160.33,3969.05
7.585000,1170.04,3997.59
7.609950,1178.62,4029.89
7.634900,1184.68,4055.37
7.659850,1197.62,4083.65
7.684800,1204.98,4112.80
7.709750,1216.42,4143.54
7.734700,1228.54,4172.97
7.759650,1234.68,4202.57
7.784600,1247.24,4230.63
7.809550,1256.09,4262.14
7.834500,1267.16,4296.69
7.859450,1274.84,4330.01
7.884400,1293.63,4360.83
7.909350,1301.17,4396.05
7.934300,1316.44,4424.39
7.959250,1321.93,4460.77
7.984200,1335.69,4492.43
8.009150,1345.65,4519.75
8.034100,1362.39,4563.80
8.059050,1372.65,4591.74
8.084000,1391.50,4626.60
8.108950,1400.91,4663.67
8.133900,1415.18,4695.90
8.158850,1421.25,4737.24
8.183800,1441.39,4770.96
8.208750,1453.44,4804.43
8.233700,1462.59,4836.40
8.258650,1464.17,4869.92
8.283600,1474.53,4903.49
8.308550,1487.85,4942.29
8.333500,1495.36,4974.42
8.358450,1506.35,5013.30
8.383400,1525.91,5041.64
8.408350,1547.77,5085.76
8.433300,1555.95,5124.63
8.458250,1569.52,5166.40
8.483200,1595.78,5206.05
8.508150,1604.82,5253.88
8.533100,1624.96,5296.48
8.558050,1643.61,5332.74
8.583000,1658.95,5382.93
8.607950,1676.91,5425.88
8.632900,1704.12,5468.88
8.657850,1721.32,5520.62
8.682800,1746.80,5567.59
8.707750,1750.51,5616.11
8.732700,1780.82,5662.95
8.757650,1802.56,5708.84
8.782600,1828.17,5756.69
8.807550,1850.93,5809.21
8.832500,1886.08,5858.18
8.857450,1896.40,5906.85
8.882400,1928.99,5964.55
8.907350,1953.14,6021.68
8.932300,1970.55,6065.82
8.957250,2002.09,6130.99
8.982200,2025.18,6187.62
9.007150,2053.07,6239.03
9.032100,2073.05,6292.13
9.057050,2112.40,6361.05
9.082000,2135.69,6406.81
9.106950,2173.28,6458.46
9.131900,2197.75,6526.19
9.156850,2228.38,6581.49
9.181800,2262.36,6648.19
9.206750,2291.03,6708.41
9.231700,2317.85,6788.65
9.256650,2363.65,6837.43
9.281600,2386.46,6908.77
9.306550,2427.44,6965.24
9.331500,2462.81,7036.22
9.356450,2501.87,7094.15
9.381400,2526.77,7165.90
9.406350,2571.40,7233.29
9.431300,2616.14,7308.35
9.456250,2653.47,7367.13
9.481200,2685.71,7437.96
9.506150,2722.77,7511.21
9.531100,2781.68,7572.84
9.556050,2820.65,7645.09
9.581000,2865.72,7726.08
9.605950,2919.72,7810.07
9.630900,2951.63,7873.56
9.655850,3006.44,7954.22
9.680800,3060.02,8030.60
9.705750,3100.04,8089.42
9.730700,3150.32,8190.48
9.755650,3187.64,8273.95
9.780600,3257.36,8335.65
9.805550,3319.10,8421.90
9.830500,3366.86,8491.62
9.855450,3382.01,8578.42
9.880400,3459.47,8673.42
9.905350,3540.22,8777.74
9.930300,3578.25,8866.20
9.955250,3652.31,8942.84
9.980200,3707.37,9033.34
10.005150,3776.64,9133.05
10.030100,3852.10,9236.04
10.055050,3952.08,9319.27
10.080000,4022.14,9435.50
10.104950,4062.99,9546.67
10.129900,4177.36,9651.23
10.154850,4261.11,9767.00
10.179800,4342.57,9873.33
10.204750,4424.89,9987.58
10.229700,4560.69,10000.00
10.254650,4636.82,10000.00
10.279600,4751.56,10000.00
10.304550,4885.57,10000.00
10.329500,4942.56,10000.00
10.354450,5086.36,10000.00
10.379400,5200.94,10000.00
10.404350,5327.65,10000.00
10.429300,5486.36,10000.00
10.454250,5609.72,10000.00
10.479200,5731.99,10000.00
10.504150,5911.88,10000.00
10.529100,6078.24,10000.00
10.554050,6219.55,10000.00
10.579000,6470.45,10000.00
10.603950,6612.85,10000.00
10.628900,6706.19,10000.00
10.653850,6992.61,10000.00
10.678800,7205.58,10000.00
10.703750,7360.13,10000.00
10.728700,7621.19,10000.00
10.753650,7862.43,10000.00
10.778600,8070.23,10000.00
10.803550,8295.74,10000.00
10.828500,8577.54,10000.00
10.853450,8793.66,10000.00
10.878400,9091.58,10000.00
10.903350,9400.79,10000.00
10.928300,9661.12,10000.00
10.953250,10000.00,10000.00
10.978200,10000.00,10000.00
11.003150,10000.00,10000.00
11.028100,10000.00,10000.00
11.053050,10000.00,10000.00
11.078000,10000.00,10000.00
11.102950,10000.00,10000.00
11.127900,10000.00,10000.00
11.152850,10000.00,10000.00
11.177800,10000.00,10000.00
11.202750,10000.00,10000.00
11.227700,10000.00,10000.00
11.252650,10000.00,10000.00
11.277600,10000.00,10000.00
11.302550,10000.00,10000.00
11.327500,10000.00,10000.00
11.352450,10000.00,10000.00
11.377400,10000.00,10000.00
11.402350,10000.00,10000.00
11.427300,10000.00,10000.00
