f,r,x
0.100000,696.39,34.77
0.124950,695.91,43.07
0.149900,695.71,51.15
0.174850,695.95,59.47
0.199800,695.93,67.64
0.224750,696.23,75.99
0.249700,696.47,84.35
0.274650,696.31,92.66
0.299600,696.84,100.76
0.324550,697.02,109.01
0.349500,696.98,117.33
0.374450,697.18,125.76
0.399400,697.31,133.99
0.424350,697.54,141.84
0.449300,697.46,150.37
0.474250,697.44,158.45
0.499200,697.69,166.70
0.524150,697.97,175.03
0.549100,698.16,183.42
0.574050,698.71,191.64
0.599000,698.91,199.68
0.623950,699.14,208.12
0.648900,699.48,216.44
0.673850,699.52,224.67
0.698800,699.61,232.97
0.723750,700.05,241.30
0.748700,700.54,249.64
0.773650,700.52,258.22
0.798600,700.65,266.37
0.823550,700.81,274.80
0.848500,701.36,283.01
0.873450,701.73,291.28
0.898400,702.03,299.65
0.923350,702.33,307.94
0.948300,703.18,316.25
0.973250,703.46,324.64
0.998200,703.62,333.00
1.023150,704.28,341.57
1.048100,704.57,349.92
1.073050,705.19,358.28
1.098000,705.28,366.73
1.122950,705.89,374.98
1.147900,706.35,383.60
1.172850,706.68,391.78
1.197800,707.27,400.29
1.222750,707.79,408.52
1.247700,707.85,416.97
1.272650,708.65,425.46
1.297600,709.31,433.89
1.322550,709.85,442.70
1.347500,710.15,450.83
1.372450,710.65,459.52
1.397400,711.14,468.22
1.422350,711.95,476.35
1.447300,712.30,484.84
1.472250,713.11,493.21
1.497200,714.00,501.33
1.522150,714.70,510.16
1.547100,715.24,519.13
1.572050,715.74,527.62
1.597000,716.71,536.25
1.621950,717.32,544.65
1.646900,718.04,553.27
1.671850,718.39,561.89
1.696800,718.93,570.16
1.721750,719.94,579.07
1.746700,720.30,587.81
1.771650,721.41,596.30
1.796600,722.28,604.92
1.821550,723.22,613.42
1.846500,723.95,622.35
1.871450,724.88,631.10
1.896400,725.78,639.57
1.921350,726.47,648.41
1.946300,727.28,656.68
1.971250,728.00,665.63
1.996200,729.20,674.27
2.021150,730.13,683.14
2.046100,730.89,691.80
2.071050,731.97,700.66
2.096000,732.99,709.69
2.120950,733.64,718.35
2.145900,734.92,727.29
2.170850,736.19,736.00
2.195800,736.83,744.98
2.220750,737.89,753.62
2.245700,739.02,762.46
2.270650,740.19,771.79
2.295600,741.42,780.68
2.320550,742.26,789.39
2.345500,743.26,798.08
2.370450,744.57,807.66
2.395400,745.64,816.38
2.420350,746.94,825.32
2.445300,747.50,834.52
2.470250,749.03,843.77
2.495200,750.21,852.64
2.520150,751.34,862.58
2.545100,752.48,871.50
2.570050,754.31,880.76
2.595000,755.11,889.62
2.619950,756.60,899.05
2.644900,757.99,908.36
2.669850,758.92,917.10
2.694800,762.33,926.72
2.719750,762.06,936.52
2.744700,762.65,945.25
2.769650,764.36,954.62
2.794600,766.00,964.42
2.819550,766.66,973.73
2.844500,768.28,982.65
2.869450,770.32,992.47
2.894400,771.78,1002.32
2.919350,773.23,1011.54
2.944300,774.59,1020.44
2.969250,776.31,1030.75
2.994200,777.58,1040.09
3.019150,779.34,1049.82
3.044100,781.11,1058.99
3.069050,782.48,1068.94
3.094000,783.82,1078.71
3.118950,785.63,1087.78
3.143900,787.52,1097.99
3.168850,788.68,1107.44
3.193800,790.03,1117.54
